,Season,Episode,Title,Date Aired,Contestants,Voted Off
38,12,11,Week 9,8/1/16,"['Jordan Rodgers' 'Robert ""Robby"" Hayes' 'Chase McNary' 'Luke Pell'
 'James Taylor' 'Alexander ""Alex"" Woytkiw' 'Derek Peth' 'Wells Adams'
 'Evan Bass' 'Grant Kemp' 'Vincent ""Vinny"" Ventiera' 'Daniel Maguire'
 'James Fuertes' 'Brian ""Chad"" Johnson' 'Ali Zahiri' 'Christian Bishop'
 'Nicholas ""Nick"" Benvenutti' 'Brandon Howell' 'James Spadafore'
 'William ""Will"" Haduch' 'Colin ""Coley"" Knust' 'Jake Patton'
 'Jonathan Hamilton' 'Nicholas ""Nick"" Sharp' 'Peter Medina'
 'Salvatore ""Sal"" DeJulio']",['Chase McNary']
39,13,1,Week 1,5/22/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']","['Jedidiah Ballard', 'Michael Black', 'Robert ""Rob"" Howard', 'Grant Hubsher', 'Blake Killpack', 'Milton LaCroix', 'Mohit Sehgal', 'Kyle Sherwood']"
40,13,2,Week 2,5/29/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']","['Blake Elarbee', 'James ""Jamey"" Kocan', 'Lucas Yancey', 'DeMario Jackson']"
41,13,3,Week 3,6/5/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']","['Brady Ervin', 'Kenneth ""Diggy"" Moreland', 'Bryce Powers', 'Frederick ""Fred"" Johnson']"
42,13,4,Week 4,6/19/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']","['Ignacio ""Iggy"" Rodriguez', 'Jonathan Treece', 'Jack Stone']"
43,13,5,Week 5,6/26/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']","['Anthony Battle', 'Josiah Graham', 'Lee Garrett']"
44,13,6,Week 5,6/27/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']","['Anthony Battle', 'Josiah Graham', 'Lee Garrett']"
45,13,7,Week 6,7/10/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']","['Aleksandr ""Alex"" Bordyukov', 'William ""Will"" Gaskins', 'Kenny Layne']"
46,13,8,Week 7,7/17/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']","['Adam Gottschalk', 'Matthew ""Matt"" Munson']"
47,13,9,Week 8,7/24/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']",['Dean Unglert']
48,13,11,Week 9,8/7/17,"['Bryan Abasolo' 'Peter Kraus ' 'Eric Bigger' 'Dean Unglert'
 'Adam Gottschalk' 'Matthew ""Matt"" Munson' 'Aleksandr ""Alex"" Bordyukov'
 'William ""Will"" Gaskins' 'Kenny Layne' 'Anthony Battle' 'Josiah Graham'
 'Lee Garrett' 'Ignacio ""Iggy"" Rodriguez' 'Jonathan Treece' 'Jack Stone'
 'Brady Ervin' 'Kenneth ""Diggy"" Moreland' 'Bryce Powers'
 'Frederick ""Fred"" Johnson' 'Blake Elarbee' 'James ""Jamey"" Kocan'
 'Lucas Yancey' 'DeMario Jackson' 'Jedidiah Ballard' 'Michael Black'
 'Robert ""Rob"" Howard' 'Grant Hubsher' 'Blake Killpack' 'Milton LaCroix'
 'Mohit Sehgal' 'Kyle Sherwood']",['Eric Bigger']
49,14,1,Week 1,5/28/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']","['Chase Vergason', 'Christian Estrada', 'Darius Feaster', 'Grant Vandevanter', 'Joe Amabile', 'Kamil Nicalek', 'Jake Enyeart']"
50,14,2,Week 2,6/4/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']","['Alex Templeman', 'Rickey Jasper', 'Trent Jespersen']"
51,14,3,Week 3,6/11/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']","['Michael ""Mike"" Renner', 'Ryan Peterson', 'Clay Harbor']"
52,14,4,Week 4,6/18/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']","['Christon Staples', 'Nicholas ""Nick"" Spetsas', 'Jean Blanc']"
53,14,5,Week 5,6/25/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']","['John Graham', 'Jordan Kimball', 'David Ravitz']"
54,14,6,Week 6,7/2/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']","['Connor Obrochta', 'Lincoln Adim', 'Chris Randone']"
55,14,7,Week 7,7/9/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']","['William ""Wills"" Reid', 'Leandro ""Leo"" Dottavio']"
56,14,8,Week 8,7/16/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']",['Colton Underwood']
57,14,9,Week 9,7/23/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']",['Jason Tartick']
58,14,11,Week 10,8/6/18,"['Garrett Yrigoyen' 'Blake Horstmann' 'Jason Tartick' 'Colton Underwood'
 'William ""Wills"" Reid' 'Leandro ""Leo"" Dottavio' 'Connor Obrochta'
 'Lincoln Adim' 'Chris Randone' 'John Graham' 'Jordan Kimball'
 'David Ravitz' 'Christon Staples' 'Nicholas ""Nick"" Spetsas' 'Jean Blanc'
 'Michael ""Mike"" Renner' 'Ryan Peterson' 'Clay Harbor' 'Alex Templeman'
 'Rickey Jasper' 'Trent Jespersen' 'Chase Vergason' 'Christian Estrada'
 'Darius Feaster' 'Grant Vandevanter' 'Joe Amabile' 'Kamil Nicalek'
 'Jake Enyeart']",[]
59,15,1,Week 1,5/13/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']","['Brian Bowles', 'Chasen Coscia', 'Hunter Jones', 'Joe Barsano', 'Matt Donald', 'Ryan Spirko', 'Thomas Staton', 'Scott Andersen']"
60,15,2,Week 2,5/20/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']","['Connor Jenkins', 'Daron Blaylock', 'Matthew Spraggins']"
61,15,3,Week 3,5/27/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']","['Cameron ""Cam"" Ayala', 'Joey Jones', 'Jonathan Saunders', 'Tyler Gwozdz†']"
62,15,4,Week 4,6/3/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']","['John Paul Jones', 'Matteo Valles', 'Luke Stone']"
63,15,6,Week 5,6/17/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']","['Devin Harris', 'Grant Eckel', 'Kevin Fortenberry']"
64,15,7,Week 6,6/24/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']","['Dustin Kendrick', 'Dylan Barbour']"
65,15,8,Week 7,7/1/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']","['Garrett Powell', 'Mike Johnson', 'Connor Saeli']"
66,15,9,Week 8,7/8/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']",[]
67,15,10,Week 9,7/15/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']","['Peter Weber', 'Luke Parker']"
68,15,12,Week 10,7/29/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']",[]
69,16,1,Week 1,10/13/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']","['AJ Yalawan', 'Chris Conran', 'Jeremy Higgins', 'Jordan Manier', 'Mike Tobin', 'Page Pressley', 'Robby Stahl', 'Tyler Cottrill']"
70,16,2,Week 2,10/20/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']","['Blake Monar', 'Garin Flowers', 'Tyler Smith', 'Yosef Aborady', 'Brandon Goss']"
71,16,3,Week 3,10/27/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",['Zach Jackson']
