,Text,Season,Date,Sentiment Analysis
41,Poem vom thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
42,that should have had more rhyming thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
43,This TV better not go out I catching up on thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
44,Catching up on thebachelorette premiere taking notes Literally 24 hours to lock in my bracket let me know if you want in,9,6/3/13,"{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.0772}"
45,At the gym and 2 of my favorite things are playing cinderella and thebachelorette Too bad I can t hear either one GymProblems,9,6/3/13,"{'neg': 0.138, 'neu': 0.672, 'pos': 0.19, 'compound': 0.0772}"
46,Is anyone else checking out how hot the guys on thebachelorette are yowsa,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
47,Never trust a guy who decided that making everyone call him Juan Pablo at all times was a good idea Bozo ,9,6/3/13,"{'neg': 0.12, 'neu': 0.752, 'pos': 0.128, 'compound': 0.0511}"
48,I m taking my mind of things and watching ,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
49, Proving that jealousy isn t a female trait Yikes hovwaswrong,9,6/3/13,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3182}"
50,Robert kinda looks like Liam Hemsworth yeah I am officially dead thebachelorette,9,6/3/13,"{'neg': 0.257, 'neu': 0.478, 'pos': 0.264, 'compound': -0.2212}"
51,Watching thebachelorette makes me uncomfortable,9,6/3/13,"{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.3818}"
52,My TV loves me back when I watch The Bachelorette with ViggleTV  viggle,9,6/3/13,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}"
53,Umm suit jacket way too big ,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
54,So you wear dentist suit Mess ,9,6/3/13,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.3612}"
55,These men are so corny smh thebachelorette,9,6/3/13,"{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.3774}"
56,Did they give this girl some mace ,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
57,DjKevinToronto thebachelorette EPIC FAIL,9,6/3/13,"{'neg': 0.585, 'neu': 0.415, 'pos': 0.0, 'compound': -0.6408}"
58,So far looks like they found the 15 biggest douche bags in America ,9,6/3/13,"{'neg': 0.154, 'neu': 0.676, 'pos': 0.17, 'compound': 0.0679}"
59,Overheard you can see in her face she wants drown herself in the fountain thebachelorette,9,6/3/13,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.5719}"
60,I feel like Des could be Demi Lovato s older sister ,9,6/3/13,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}"
61,Catching up on The Bachelorette thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
62, is so funny These guys are so weird I feel so awkward but amused at the same time,9,6/3/13,"{'neg': 0.138, 'neu': 0.584, 'pos': 0.278, 'compound': 0.6279}"
63,So glad they are showing where Des meets the guys again ,9,6/3/13,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.5095}"
64,thebachelorette slapstick comedy show,9,6/3/13,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}"
65,Tailor Magician NOPE thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,Um BYE JONATHAN Creepy ,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,Quite the interesting group thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.4549}"
68,Now my reality tv junkie husband and I are testing out another show we ve never seen thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
69,Watching thebachelorette and feelin soo bad for her after meeting that group of crazies notagoodoneinthebunch,9,6/3/13,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.5423}"
70,Knight in shining armor Diogo you re out thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
71,Okay Ben is adorable thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 0.37, 'pos': 0.63, 'compound': 0.6249}"
72,Every single guy on thebachelorette right now is so weird,9,6/3/13,"{'neg': 0.199, 'neu': 0.801, 'pos': 0.0, 'compound': -0.3052}"
73,Hahaha wow talk about some tools thebachelorette,9,6/3/13,"{'neg': 0.0, 'neu': 0.403, 'pos': 0.597, 'compound': 0.8126}"
74,OMG sooo obsessed with Ben and his little son Brody thecutest ,9,6/3/13,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.1779}"
75,Oh my gosh A mess in shining armor ,9,6/3/13,"{'neg': 0.294, 'neu': 0.706, 'pos': 0.0, 'compound': -0.3612}"
76,Zak if things don t work out on  I luv a Fluids Engineer a man who knows how 2 handle fluids NoShirt,9,6/3/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,Tennis and tuxes do not look good guys stopit thebachelorette,9,6/3/13,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.3412}"
